date,eua_eur_tco2
2025-02-28,70.650000
2025-03-03,70.310000
2025-03-04,68.100000
2025-03-05,67.990000
2025-03-06,66.580000
2025-03-07,67.770000
2025-03-10,68.180000
2025-03-11,67.020000
2025-03-13,68.200000
2025-03-14,68.650000
2025-03-17,68.530000
2025-03-18,68.660000
2025-03-19,71.350000
2025-03-20,71.540000
2025-03-21,71.560000
2025-03-24,69.850000
2025-03-25,69.610000
2025-03-27,68.410000
2025-03-28,67.360000
2025-03-31,66.800000
2025-04-01,66.710000
2025-04-02,68.620000
2025-04-03,65.750000
2025-04-04,63.800000
2025-04-07,59.760000
2025-04-08,60.350000
2025-04-10,62.080000
2025-04-11,61.010000
2025-04-14,64.600000
2025-04-15,66.210000
2025-04-16,65.980000
2025-04-17,65.060000
2025-04-22,63.300000
2025-04-24,63.930000
2025-04-25,65.890000
2025-04-28,64.200000
2025-04-29,63.550000
2025-04-30,65.050000
2025-05-05,66.640000
2025-05-06,67.880000
2025-05-08,70.300000
2025-05-09,70.200000
2025-05-12,71.010000
2025-05-13,71.690000
2025-05-14,71.850000
2025-05-15,70.110000
2025-05-16,72.940000
2025-05-19,69.440000
2025-05-20,70.690000
2025-05-22,71.840000
2025-05-23,71.110000
2025-05-27,71.510000
2025-05-28,70.540000
2025-06-02,70.580000
2025-06-03,70.610000
2025-06-05,72.540000
2025-06-06,72.300000
2025-06-10,72.160000
2025-06-11,73.500000
2025-06-12,72.710000
2025-06-13,75.360000
2025-06-16,74.510000
2025-06-17,74.050000
2025-06-19,73.480000
2025-06-20,71.970000
2025-06-23,72.000000
2025-06-24,72.910000
2025-06-25,71.720000
2025-06-26,69.460000
2025-06-27,69.400000
2025-06-30,68.950000
2025-07-01,69.010000
2025-07-03,70.520000
2025-07-04,70.850000
2025-07-07,70.340000
2025-07-08,69.960000
2025-07-09,69.880000
2025-07-10,70.440000
2025-07-11,69.300000
2025-07-14,70.420000
2025-07-15,69.760000
2025-07-17,70.050000
2025-07-18,69.680000
2025-07-21,69.530000
2025-07-22,68.730000
2025-07-23,69.100000
2025-07-24,68.890000
2025-07-25,70.220000
2025-07-28,70.630000
2025-07-29,70.530000
2025-07-31,72.000000
2025-08-01,71.140000
2025-08-04,69.520000
2025-08-05,70.070000
2025-08-06,70.740000
2025-08-07,70.100000
2025-08-08,72.140000
2025-08-11,72.180000
2025-08-12,71.300000
2025-08-14,70.540000
2025-08-15,70.130000
2025-08-18,70.210000
2025-08-19,71.370000
2025-08-20,70.470000
2025-08-21,71.190000
2025-08-22,72.050000
2025-08-25,71.360000
2025-08-26,71.310000
2025-08-28,71.180000
2025-08-29,71.300000
2025-09-01,73.140000
2025-09-02,73.500000
2025-09-03,73.270000
2025-09-04,74.380000
2025-09-05,75.440000
2025-09-08,75.210000
2025-09-09,76.400000
2025-09-11,76.070000
2025-09-12,75.020000
2025-09-15,75.020000
2025-09-16,76.170000
2025-09-17,77.530000
2025-09-18,77.220000
2025-09-19,76.570000
2025-09-22,76.800000
2025-09-23,75.600000
2025-09-25,75.560000
2025-09-26,75.170000
2025-09-29,75.200000
2025-09-30,75.950000
2025-10-01,74.300000
2025-10-02,76.050000
2025-10-06,79.190000
2025-10-07,78.300000
2025-10-08,77.390000
2025-10-09,77.950000
2025-10-10,79.220000
2025-10-13,78.660000
2025-10-14,76.910000
2025-10-15,76.580000
2025-10-16,77.820000
2025-10-17,77.990000
2025-10-20,78.750000
2025-10-21,78.940000
2025-10-23,78.540000
2025-10-24,78.470000
2025-10-27,77.560000
2025-10-28,77.850000
2025-10-29,78.550000
2025-10-30,78.710000
2025-10-31,78.660000
2025-11-03,79.300000
2025-11-04,81.260000
2025-11-06,80.070000
2025-11-07,79.760000
2025-11-10,79.970000
2025-11-11,79.910000
2025-11-12,81.510000
2025-11-13,81.310000
2025-11-14,80.850000
2025-11-17,80.250000
2025-11-18,80.410000
2025-11-20,81.160000
2025-11-21,80.470000
2025-11-24,80.000000
2025-11-25,81.190000
2025-11-26,81.510000
2025-11-27,81.070000
2025-11-28,82.600000
2025-12-01,83.010000
2025-12-02,82.190000
2025-12-04,81.390000
2025-12-05,82.250000
2025-12-08,82.170000
2025-12-09,82.220000
2025-12-10,82.180000
2025-12-11,83.770000
2025-12-12,83.650000
2025-12-15,84.600000
2026-01-07,86.270000
2026-01-08,85.470000
2026-01-09,87.000000
2026-01-12,87.870000
2026-01-13,88.710000
2026-01-15,91.320000
2026-01-16,91.340000
2026-01-19,87.340000
2026-01-20,84.580000
2026-01-21,83.550000
2026-01-22,86.550000
2026-01-23,87.510000
2026-01-26,86.400000
2026-01-27,85.930000
2026-01-29,82.580000
2026-01-30,81.680000
2026-02-02,80.570000
2026-02-03,81.700000
2026-02-04,80.800000
2026-02-05,80.550000
2026-02-06,77.230000
2026-02-09,78.530000
2026-02-10,79.200000
2026-02-12,70.890000
2026-02-13,71.500000
2026-02-16,69.800000
2026-02-17,67.820000
2026-02-18,69.220000
2026-02-19,70.510000
2026-02-20,70.870000
2026-02-23,70.400000
2026-02-24,69.700000
2026-02-26,68.370000
2026-02-27,70.260000
2026-03-02,68.420000
2026-03-03,68.770000
2026-03-04,70.750000
2026-03-05,68.990000
2026-03-06,69.660000
2026-03-09,68.530000
2026-03-10,71.100000
2026-03-12,70.580000
2026-03-13,67.070000
2026-03-16,68.410000
2026-03-17,64.520000
2026-03-18,65.160000
2026-03-19,62.190000
2026-03-20,66.690000
2026-03-23,64.700000
2026-03-24,67.060000
2026-03-26,69.120000
2026-03-27,70.550000
2026-03-30,70.000000
2026-03-31,71.130000
2026-04-01,71.560000
2026-04-02,71.710000
2026-04-07,70.600000
2026-04-09,70.670000
2026-04-10,72.000000
2026-04-13,70.620000
2026-04-14,72.100000
2026-04-15,73.570000
2026-04-16,72.400000
2026-04-17,75.900000
2026-04-20,74.840000
2026-04-21,73.900000
2026-04-23,73.630000
2026-04-24,74.030000
2026-04-27,73.200000
2026-04-28,74.140000
2026-04-29,73.960000
2026-04-30,71.800000
2026-05-04,72.650000
2026-05-05,72.630000
