fold_id,period,test_start,test_end,prophet_MAE,prophet_RMSE,hybrid_MAE,hybrid_RMSE,n_test
42,SHOCK_2022,2022-10-18,2022-10-18,197.18796011878115,197.18796011878115,49.488909215460836,49.488909215460836,1
43,SHOCK_2022,2022-10-25,2022-10-25,253.10305074915027,253.10305074915027,43.36385397180652,43.36385397180652,1
44,SHOCK_2022,2022-11-01,2022-11-01,272.68809733424047,272.68809733424047,143.8180106643186,143.8180106643186,1
45,SHOCK_2022,2022-11-08,2022-11-08,230.43234625328927,230.43234625328927,84.31624212731272,84.31624212731272,1
46,SHOCK_2022,2022-11-15,2022-11-15,126.09042191074914,126.09042191074914,36.01046585606164,36.01046585606164,1
47,SHOCK_2022,2022-11-22,2022-11-22,77.12418514582626,77.12418514582626,59.5808292040538,59.5808292040538,1
48,SHOCK_2022,2022-11-29,2022-11-29,106.82058701858716,106.82058701858716,64.24216447220044,64.24216447220044,1
49,SHOCK_2022,2022-12-06,2022-12-06,108.30765237754207,108.30765237754207,17.530345058981368,17.530345058981368,1
50,SHOCK_2022,2022-12-13,2022-12-13,150.10829359127524,150.10829359127524,40.68586927486899,40.68586927486899,1
51,SHOCK_2022,2022-12-20,2022-12-20,113.75495654922426,113.75495654922426,99.70020992141664,99.70020992141664,1
52,SHOCK_2022,2022-12-27,2022-12-27,181.54024639049226,181.54024639049226,49.297738455921944,49.297738455921944,1
53,SHOCK_2022,2023-01-03,2023-01-03,69.66243144742225,69.66243144742225,27.50670459994103,27.50670459994103,1
54,SHOCK_2022,2023-01-10,2023-01-10,0.4507166350031184,0.4507166350031184,13.980466505303411,13.980466505303411,1
55,SHOCK_2022,2023-01-17,2023-01-17,3.0499269482978093,3.0499269482978093,11.17631988550346,11.17631988550346,1
56,SHOCK_2022,2023-01-24,2023-01-24,49.08770275872439,49.08770275872439,49.69770110409945,49.69770110409945,1
57,SHOCK_2022,2023-01-31,2023-01-31,8.793675709703905,8.793675709703905,34.83698148634102,34.83698148634102,1
58,SHOCK_2022,2023-02-07,2023-02-07,87.90609689136963,87.90609689136963,62.69756837269287,62.69756837269287,1
59,SHOCK_2022,2023-02-14,2023-02-14,64.47072127266622,64.47072127266622,24.439852742392787,24.439852742392787,1
60,SHOCK_2022,2023-02-21,2023-02-21,3.0939760533611604,3.0939760533611604,2.178364667062027,2.178364667062027,1
61,BASELINE,2023-02-28,2023-02-28,0.03936692286904986,0.03936692286904986,3.343592367662751,3.343592367662751,1
62,BASELINE,2023-03-07,2023-03-07,53.38149841665951,53.38149841665951,50.33667047857968,50.33667047857968,1
63,BASELINE,2023-03-14,2023-03-14,62.16658849741113,62.16658849741113,39.33251638437402,39.33251638437402,1
64,BASELINE,2023-03-21,2023-03-21,10.708253854001669,10.708253854001669,38.985717766965536,38.985717766965536,1
65,BASELINE,2023-03-28,2023-03-28,32.17049721458221,32.17049721458221,38.448281085279234,38.448281085279234,1
66,BASELINE,2023-04-04,2023-04-04,56.20199107536163,56.20199107536163,39.07028865226593,39.07028865226593,1
67,BASELINE,2023-04-11,2023-04-11,16.113037166281238,16.113037166281238,7.608272609396472,7.608272609396472,1
68,BASELINE,2023-04-18,2023-04-18,28.02310785835914,28.02310785835914,0.2521053832180087,0.2521053832180087,1
69,BASELINE,2023-04-25,2023-04-25,17.336082190647275,17.336082190647275,1.3961336907003812,1.3961336907003812,1
70,BASELINE,2023-05-02,2023-05-02,12.587139574258828,12.587139574258828,4.68735071775248,4.68735071775248,1
71,BASELINE,2023-05-09,2023-05-09,7.83362887637567,7.83362887637567,5.202028052640443,5.202028052640443,1
72,BASELINE,2023-05-16,2023-05-16,8.546387589688507,8.546387589688507,11.172501004452911,11.172501004452911,1
73,BASELINE,2023-05-23,2023-05-23,22.618339512552012,22.618339512552012,8.617123577798594,8.617123577798594,1
74,BASELINE,2023-05-30,2023-05-30,43.29593204369718,43.29593204369718,29.138345945979893,29.138345945979893,1
75,BASELINE,2023-06-06,2023-06-06,34.72709719406214,34.72709719406214,19.201156298981573,19.201156298981573,1
76,BASELINE,2023-06-13,2023-06-13,5.016733024664035,5.016733024664035,28.561132575921903,28.561132575921903,1
77,BASELINE,2023-06-20,2023-06-20,18.415520656037657,18.415520656037657,9.66279982321295,9.66279982321295,1
78,BASELINE,2023-06-27,2023-06-27,6.1673129444644275,6.1673129444644275,7.03780099206422,7.03780099206422,1
79,BASELINE,2023-07-04,2023-07-04,21.116241583316565,21.116241583316565,14.535713067562341,14.535713067562341,1
80,BASELINE,2023-07-11,2023-07-11,14.065730054630194,14.065730054630194,4.10497661377326,4.10497661377326,1
81,BASELINE,2023-07-18,2023-07-18,12.718355656473534,12.718355656473534,6.490823269693749,6.490823269693749,1
82,BASELINE,2023-07-25,2023-07-25,10.29739390075217,10.29739390075217,1.9343081539870326,1.9343081539870326,1
83,BASELINE,2023-08-01,2023-08-01,27.607593803984187,27.607593803984187,7.4918082052293045,7.4918082052293045,1
84,BASELINE,2023-08-08,2023-08-08,101.42616548063825,101.42616548063825,67.61941804411481,67.61941804411481,1
85,BASELINE,2023-08-15,2023-08-15,47.99952694980031,47.99952694980031,28.386205645479023,28.386205645479023,1
86,BASELINE,2023-08-22,2023-08-22,50.769756995856255,50.769756995856255,14.976029121100396,14.976029121100396,1
87,BASELINE,2023-08-29,2023-08-29,50.84626301884626,50.84626301884626,45.03374728322004,45.03374728322004,1
88,BASELINE,2023-09-05,2023-09-05,35.09591432468169,35.09591432468169,9.527582684595657,9.527582684595657,1
89,BASELINE,2023-09-12,2023-09-12,38.50674248933987,38.50674248933987,54.02596284151272,54.02596284151272,1
90,BASELINE,2023-09-19,2023-09-19,32.68387400340479,32.68387400340479,11.643899790758304,11.643899790758304,1
91,BASELINE,2023-09-26,2023-09-26,69.06291213684335,69.06291213684335,59.169319302370695,59.169319302370695,1
92,BASELINE,2023-10-03,2023-10-03,39.37381549801591,39.37381549801591,8.471263847014932,8.471263847014932,1
93,BASELINE,2023-10-10,2023-10-10,75.91491367652989,75.91491367652989,36.040058635025986,36.040058635025986,1
94,BASELINE,2023-10-17,2023-10-17,109.21766173034293,109.21766173034293,99.41962801604849,99.41962801604849,1
95,BASELINE,2023-10-24,2023-10-24,104.98989709546946,104.98989709546946,22.829489075449928,22.829489075449928,1
96,BASELINE,2023-10-31,2023-10-31,82.35561052752372,82.35561052752372,69.15887133074638,69.15887133074638,1
97,BASELINE,2023-11-07,2023-11-07,68.88086380771843,68.88086380771843,42.62390198520866,42.62390198520866,1
98,BASELINE,2023-11-14,2023-11-14,14.063713111350502,14.063713111350502,18.691227473685707,18.691227473685707,1
99,BASELINE,2023-11-21,2023-11-21,33.30904930317453,33.30904930317453,18.695039445996798,18.695039445996798,1
100,BASELINE,2023-11-28,2023-11-28,20.898547308171004,20.898547308171004,20.294836001122206,20.294836001122206,1
101,BASELINE,2023-12-05,2023-12-05,70.92902847863307,70.92902847863307,20.673687902461197,20.673687902461197,1
102,BASELINE,2023-12-12,2023-12-12,68.60301165467462,68.60301165467462,32.957496212780086,32.957496212780086,1
103,BASELINE,2023-12-19,2023-12-19,37.36214571255708,37.36214571255708,3.73892850619292,3.73892850619292,1
104,BASELINE,2023-12-26,2023-12-26,13.428125328236359,13.428125328236359,17.011297279185516,17.011297279185516,1
105,BASELINE,2024-01-02,2024-01-02,67.00905832258577,67.00905832258577,57.814995135940265,57.814995135940265,1
106,BASELINE,2024-01-09,2024-01-09,98.5137625484787,98.5137625484787,68.35068614772186,68.35068614772186,1
107,BASELINE,2024-01-16,2024-01-16,43.00377378901682,43.00377378901682,10.8876315160676,10.8876315160676,1
108,BASELINE,2024-01-23,2024-01-23,25.15719918505357,25.15719918505357,23.025815527598127,23.025815527598127,1
109,BASELINE,2024-01-30,2024-01-30,16.21624826437536,16.21624826437536,27.020594844755493,27.020594844755493,1
110,BASELINE,2024-02-06,2024-02-06,16.31773000372696,16.31773000372696,24.72276216162491,24.72276216162491,1
111,BASELINE,2024-02-13,2024-02-13,39.859680140353746,39.859680140353746,11.102462733127183,11.102462733127183,1
112,BASELINE,2024-02-20,2024-02-20,6.889902326520783,6.889902326520783,20.281965044084693,20.281965044084693,1
113,BASELINE,2024-02-27,2024-02-27,8.008673789312127,8.008673789312127,26.257331015874627,26.257331015874627,1
114,BASELINE,2024-03-05,2024-03-05,18.86781075886357,18.86781075886357,28.102115186964156,28.102115186964156,1
115,BASELINE,2024-03-12,2024-03-12,5.455276199503189,5.455276199503189,8.762658408956284,8.762658408956284,1
116,BASELINE,2024-03-19,2024-03-19,13.141171599198515,13.141171599198515,9.775923872758085,9.775923872758085,1
117,BASELINE,2024-03-26,2024-03-26,3.632792335473198,3.632792335473198,15.201336998022896,15.201336998022896,1
118,BASELINE,2024-04-02,2024-04-02,25.87293249551258,25.87293249551258,24.79903763715229,24.79903763715229,1
119,BASELINE,2024-04-09,2024-04-09,0.7524756867479354,0.7524756867479354,25.34742350168934,25.34742350168934,1
120,BASELINE,2024-04-16,2024-04-16,3.692004717219099,3.692004717219099,28.485709703791365,28.485709703791365,1
121,BASELINE,2024-04-23,2024-04-23,25.40282545788149,25.40282545788149,1.943139178584616,1.943139178584616,1
122,BASELINE,2024-04-30,2024-04-30,15.332586701441372,15.332586701441372,19.482294972467983,19.482294972467983,1
123,BASELINE,2024-05-07,2024-05-07,11.241561772938581,11.241561772938581,7.892124292735247,7.892124292735247,1
124,BASELINE,2024-05-14,2024-05-14,37.8633605141395,37.8633605141395,25.72578059623179,25.72578059623179,1
125,BASELINE,2024-05-21,2024-05-21,28.896978014716154,28.896978014716154,8.035672777899748,8.035672777899748,1
126,BASELINE,2024-05-28,2024-05-28,32.29984578076694,32.29984578076694,25.348758305943946,25.348758305943946,1
127,BASELINE,2024-06-04,2024-06-04,32.51642086868421,32.51642086868421,10.716871765901004,10.716871765901004,1
128,BASELINE,2024-06-11,2024-06-11,32.024508325583085,32.024508325583085,46.44150909615193,46.44150909615193,1
129,BASELINE,2024-06-18,2024-06-18,7.4769164165922035,7.4769164165922035,7.242027579850756,7.242027579850756,1
130,BASELINE,2024-06-25,2024-06-25,32.350579927548154,32.350579927548154,31.30595845995782,31.30595845995782,1
131,BASELINE,2024-07-02,2024-07-02,27.161875043022192,27.161875043022192,21.774818215477026,21.774818215477026,1
132,BASELINE,2024-07-09,2024-07-09,36.77798278253641,36.77798278253641,27.73331649225321,27.73331649225321,1
133,BASELINE,2024-07-16,2024-07-16,67.30544402048648,67.30544402048648,40.27912070200504,40.27912070200504,1
134,BASELINE,2024-07-23,2024-07-23,37.47218655874049,37.47218655874049,15.78581952382838,15.78581952382838,1
135,BASELINE,2024-07-30,2024-07-30,35.79644008872761,35.79644008872761,19.45239254234089,19.45239254234089,1
136,BASELINE,2024-08-06,2024-08-06,35.318759976456946,35.318759976456946,19.525743542741125,19.525743542741125,1
137,BASELINE,2024-08-13,2024-08-13,44.45008700194438,44.45008700194438,25.26774637999614,25.26774637999614,1
138,BASELINE,2024-08-20,2024-08-20,78.34890913725357,78.34890913725357,34.986932513718415,34.986932513718415,1
139,BASELINE,2024-08-27,2024-08-27,80.06768914579038,80.06768914579038,69.93493291257505,69.93493291257505,1
140,BASELINE,2024-09-03,2024-09-03,5.76865419717538,5.76865419717538,34.521038382966395,34.521038382966395,1
141,BASELINE,2024-09-10,2024-09-10,65.26288560319242,65.26288560319242,42.74211266923245,42.74211266923245,1
142,BASELINE,2024-09-17,2024-09-17,12.128084503738975,12.128084503738975,2.3574892648767474,2.3574892648767474,1
143,BASELINE,2024-09-24,2024-09-24,0.8612418646699069,0.8612418646699069,7.057364511001694,7.057364511001694,1
144,BASELINE,2024-10-01,2024-10-01,12.56114273761628,12.56114273761628,1.656911080132744,1.656911080132744,1
145,BASELINE,2024-10-08,2024-10-08,18.26229352182449,18.26229352182449,18.00636101192535,18.00636101192535,1
146,BASELINE,2024-10-15,2024-10-15,34.71080193327341,34.71080193327341,25.02674946592721,25.02674946592721,1
147,BASELINE,2024-10-22,2024-10-22,53.147553404106915,53.147553404106915,35.351843794121564,35.351843794121564,1
148,BASELINE,2024-10-29,2024-10-29,90.40076576809666,90.40076576809666,81.99631535153172,81.99631535153172,1
149,BASELINE,2024-11-05,2024-11-05,102.70759684984428,102.70759684984428,69.47153575365287,69.47153575365287,1
150,BASELINE,2024-11-12,2024-11-12,84.44969253841334,84.44969253841334,51.583725741538345,51.583725741538345,1
151,BASELINE,2024-11-19,2024-11-19,13.916226991148648,13.916226991148648,11.551149018736538,11.551149018736538,1
152,BASELINE,2024-11-26,2024-11-26,29.82720224949516,29.82720224949516,18.661494802506795,18.661494802506795,1
153,BASELINE,2024-12-03,2024-12-03,29.23580492240788,29.23580492240788,29.510025613480792,29.510025613480792,1
154,BASELINE,2024-12-10,2024-12-10,23.059626237666777,23.059626237666777,22.767163618290255,22.767163618290255,1
155,BASELINE,2024-12-17,2024-12-17,54.99875487059991,54.99875487059991,14.895127880864933,14.895127880864933,1
156,BASELINE,2024-12-24,2024-12-24,25.248782545737797,25.248782545737797,63.00189915340381,63.00189915340381,1
157,BASELINE,2024-12-31,2024-12-31,15.893798288497656,15.893798288497656,21.48206513801548,21.48206513801548,1
158,BASELINE,2025-01-07,2025-01-07,6.320858596581701,6.320858596581701,26.98543035866666,26.98543035866666,1
