fold_id,period,prophet_MAE,A_price_only_MAE,B_plus_market_MAE,C_plus_weather_MAE,D_plus_geopolitical_MAE,E_plus_sentiment_MAE
51,SHOCK_2022,113.75495654922426,74.66687518936098,81.33229953628481,82.83752185684145,96.39995128494203,105.43417770248354
52,SHOCK_2022,181.54024639049226,37.49401225963288,73.33897533336335,56.3193830482071,51.29323711314851,46.82261028209382
53,SHOCK_2022,69.66243144742225,15.203069417392953,15.748754770839469,26.379286081874625,39.16362598665978,33.83316639193322
54,SHOCK_2022,0.4507166350031184,36.01966728807929,36.964495321526556,21.617039343133,20.725821157708197,19.382767339959173
55,SHOCK_2022,3.0499269482978093,17.194076347600628,16.6725728991143,25.321754265081097,15.633188057195355,17.80377750421684
56,SHOCK_2022,49.08770275872439,27.897519119198023,52.74547029298037,53.645318992550074,48.569486387188135,47.23141098778933
57,SHOCK_2022,8.793675709703905,23.148691844007033,7.76829214002754,38.255667399426954,33.23793668653633,28.261084269544142
58,SHOCK_2022,87.90609689136963,88.66259260555725,71.23518128773193,50.985961393322754,58.488221601452636,55.84403176685791
59,SHOCK_2022,64.47072127266622,39.799117116172084,36.88309004708029,27.133517293174037,28.679915456015834,23.166758565146694
60,SHOCK_2022,3.0939760533611604,28.466916116837723,8.10764554417537,0.15010425173832687,11.038228002424972,0.5850696889202425
61,BASELINE,0.03936692286904986,38.898474894060456,2.0102747302192085,13.256738863481843,12.026706896318757,10.363203249468171
62,BASELINE,53.38149841665951,60.678505023715175,55.95041545271603,61.762319644686855,46.1234818303558,53.47988971858946
63,BASELINE,62.16658849741113,46.5543753626455,32.41626997018945,19.60181875253808,38.34181661630761,38.82969160104882
64,BASELINE,10.708253854001669,20.81911753960958,43.83942603417745,29.894199364865926,28.162242882932333,52.5607891018044
65,BASELINE,32.17049721458221,35.5790644047525,34.60238341071869,37.55664280631805,46.32481316306854,43.41207150199676
66,BASELINE,56.20199107536163,67.67893695243683,44.60283946403351,36.3616628588089,42.520142549360656,37.916380876387024
67,BASELINE,16.113037166281238,8.527217808083996,17.88378578154613,1.6318836781220583,9.769230422659412,11.758171615286365
68,BASELINE,28.02310785835914,15.102583261191171,7.190694479287345,0.2053512055271085,4.9243758637302335,1.3165591675632413
69,BASELINE,17.336082190647275,32.34828826822296,1.8317572776223727,8.318843573703916,8.901204795017392,9.45356819070831
70,BASELINE,12.587139574258828,26.196238962381386,12.016363886564278,13.16210612413218,9.942846027582192,5.8341555273227925
71,BASELINE,7.83362887637567,6.912700994181151,1.6395551993126816,3.8176686928992325,8.018515364957338,1.8375661538367325
72,BASELINE,8.546387589688507,8.36230396401426,0.045396722073761,5.583740628476349,7.230835593457428,12.316153920407501
