fold_id,period,test_start,test_end,chronos_MAE,chronos_RMSE,naive_MAE,naive_RMSE,n_test
28,SHOCK_2022,2022-07-12,2022-07-12,6.934504394531302,6.934504394531302,5.066250000000025,5.066250000000025,1
29,SHOCK_2022,2022-07-19,2022-07-19,2.6806315104166174,2.6806315104166174,1.0200000000000387,1.0200000000000387,1
30,SHOCK_2022,2022-07-26,2022-07-26,35.382344563802064,35.382344563802064,6.761666666666656,6.761666666666656,1
31,SHOCK_2022,2022-08-02,2022-08-02,56.56568603515626,56.56568603515626,44.109166666666624,44.109166666666624,1
32,SHOCK_2022,2022-08-09,2022-08-09,47.382250162760386,47.382250162760386,14.675833333333287,14.675833333333287,1
33,SHOCK_2022,2022-08-16,2022-08-16,67.37937296549472,67.37937296549472,64.18833333333328,64.18833333333328,1
34,SHOCK_2022,2022-08-23,2022-08-23,36.38048014322919,36.38048014322919,41.314166666666665,41.314166666666665,1
35,SHOCK_2022,2022-08-30,2022-08-30,61.95875732421871,61.95875732421871,1.8258333333333212,1.8258333333333212,1
36,SHOCK_2022,2022-09-06,2022-09-06,13.690356445312489,13.690356445312489,59.815,59.815,1
37,SHOCK_2022,2022-09-13,2022-09-13,85.53869140625,85.53869140625,15.6608333333333,15.6608333333333,1
38,SHOCK_2022,2022-09-20,2022-09-20,68.62113647460939,68.62113647460939,101.74125000000004,101.74125000000004,1
39,SHOCK_2022,2022-09-27,2022-09-27,11.34205118815106,11.34205118815106,64.2833333333333,64.2833333333333,1
40,SHOCK_2022,2022-10-04,2022-10-04,42.055322265624994,42.055322265624994,36.95708333333337,36.95708333333337,1
41,SHOCK_2022,2022-10-11,2022-10-11,62.59321716308597,62.59321716308597,97.78375000000003,97.78375000000003,1
42,SHOCK_2022,2022-10-18,2022-10-18,17.168913167317697,17.168913167317697,30.56916666666666,30.56916666666666,1
43,SHOCK_2022,2022-10-25,2022-10-25,33.95051188151041,33.95051188151041,24.78166666666668,24.78166666666668,1
44,SHOCK_2022,2022-11-01,2022-11-01,96.48360778808593,96.48360778808593,76.36749999999999,76.36749999999999,1
45,SHOCK_2022,2022-11-08,2022-11-08,20.089458109537773,20.089458109537773,19.059166666666655,19.059166666666655,1
46,SHOCK_2022,2022-11-15,2022-11-15,12.272346801757834,12.272346801757834,16.49208333333337,16.49208333333337,1
47,SHOCK_2022,2022-11-22,2022-11-22,51.17526611328125,51.17526611328125,49.940416666666636,49.940416666666636,1
48,SHOCK_2022,2022-11-29,2022-11-29,93.10200317382811,93.10200317382811,80.00583333333333,80.00583333333333,1
49,SHOCK_2022,2022-12-06,2022-12-06,40.108381754557286,40.108381754557286,45.185,45.185,1
50,SHOCK_2022,2022-12-13,2022-12-13,14.088269449869813,14.088269449869813,10.543333333333408,10.543333333333408,1
51,SHOCK_2022,2022-12-20,2022-12-20,87.22218709309894,87.22218709309894,6.105833333333322,6.105833333333322,1
52,SHOCK_2022,2022-12-27,2022-12-27,0.22133402506511857,0.22133402506511857,51.20166666666668,51.20166666666668,1
53,SHOCK_2022,2023-01-03,2023-01-03,23.14149586995441,23.14149586995441,22.134583333333325,22.134583333333325,1
54,SHOCK_2022,2023-01-10,2023-01-10,34.0165254720052,34.0165254720052,6.161249999999981,6.161249999999981,1
55,SHOCK_2022,2023-01-17,2023-01-17,1.0130910237630246,1.0130910237630246,4.817916666666662,4.817916666666662,1
56,SHOCK_2022,2023-01-24,2023-01-24,3.923095499674446,3.923095499674446,0.04125000000001933,0.04125000000001933,1
57,SHOCK_2022,2023-01-31,2023-01-31,13.687000223795593,13.687000223795593,43.10791666666668,43.10791666666668,1
58,SHOCK_2022,2023-02-07,2023-02-07,8.152831420898451,8.152831420898451,0.04083333333332462,0.04083333333332462,1
59,SHOCK_2022,2023-02-14,2023-02-14,0.2368501790364519,0.2368501790364519,9.00333333333333,9.00333333333333,1
60,SHOCK_2022,2023-02-21,2023-02-21,18.712198384602857,18.712198384602857,61.028749999999995,61.028749999999995,1
61,BASELINE,2023-02-28,2023-02-28,14.196973876953138,14.196973876953138,4.229583333333352,4.229583333333352,1
62,BASELINE,2023-03-07,2023-03-07,55.12909261067709,55.12909261067709,43.80500000000002,43.80500000000002,1
63,BASELINE,2023-03-14,2023-03-14,14.671677042643225,14.671677042643225,34.34041666666667,34.34041666666667,1
64,BASELINE,2023-03-21,2023-03-21,8.755376586914068,8.755376586914068,10.120416666666685,10.120416666666685,1
65,BASELINE,2023-03-28,2023-03-28,22.693043823242192,22.693043823242192,20.83291666666669,20.83291666666669,1
66,BASELINE,2023-04-04,2023-04-04,26.832560933430983,26.832560933430983,17.271666666666647,17.271666666666647,1
67,BASELINE,2023-04-11,2023-04-11,25.140102132161452,25.140102132161452,20.010833333333338,20.010833333333338,1
68,BASELINE,2023-04-18,2023-04-18,21.39085530598959,21.39085530598959,16.010416666666657,16.010416666666657,1
69,BASELINE,2023-04-25,2023-04-25,11.918972167968747,11.918972167968747,3.6070833333333354,3.6070833333333354,1
70,BASELINE,2023-05-02,2023-05-02,2.271133728027337,2.271133728027337,18.55208333333333,18.55208333333333,1
71,BASELINE,2023-05-09,2023-05-09,3.7209624226887854,3.7209624226887854,1.734583333333319,1.734583333333319,1
72,BASELINE,2023-05-16,2023-05-16,26.400407002766926,26.400407002766926,34.545000000000016,34.545000000000016,1
73,BASELINE,2023-05-23,2023-05-23,18.29230397542318,18.29230397542318,24.545833333333334,24.545833333333334,1
74,BASELINE,2023-05-30,2023-05-30,36.73339416503906,36.73339416503906,66.28625,66.28625,1
75,BASELINE,2023-06-06,2023-06-06,10.206435038248713,10.206435038248713,7.382083333333341,7.382083333333341,1
76,BASELINE,2023-06-13,2023-06-13,5.917092386881507,5.917092386881507,6.37166666666667,6.37166666666667,1
77,BASELINE,2023-06-20,2023-06-20,0.28624633789063125,0.28624633789063125,4.174583333333331,4.174583333333331,1
78,BASELINE,2023-06-27,2023-06-27,8.507386169433587,8.507386169433587,4.456666666666692,4.456666666666692,1
79,BASELINE,2023-07-04,2023-07-04,6.300548197428384,6.300548197428384,31.902500000000003,31.902500000000003,1
80,BASELINE,2023-07-11,2023-07-11,9.313529561360667,9.313529561360667,8.028333333333322,8.028333333333322,1
81,BASELINE,2023-07-18,2023-07-18,13.225249226888025,13.225249226888025,24.545833333333334,24.545833333333334,1
82,BASELINE,2023-07-25,2023-07-25,0.11917460123699186,0.11917460123699186,13.62458333333332,13.62458333333332,1
83,BASELINE,2023-08-01,2023-08-01,19.2161415608724,19.2161415608724,8.458749999999995,8.458749999999995,1
84,BASELINE,2023-08-08,2023-08-08,55.72277811686198,55.72277811686198,7.378333333333334,7.378333333333334,1
85,BASELINE,2023-08-15,2023-08-15,17.829525655110658,17.829525655110658,9.814999999999998,9.814999999999998,1
86,BASELINE,2023-08-22,2023-08-22,5.982209269205725,5.982209269205725,2.045000000000016,2.045000000000016,1
87,BASELINE,2023-08-29,2023-08-29,27.393826904296873,27.393826904296873,4.231666666666683,4.231666666666683,1
88,BASELINE,2023-09-05,2023-09-05,14.651291300455725,14.651291300455725,4.903333333333336,4.903333333333336,1
89,BASELINE,2023-09-12,2023-09-12,28.33892415364582,28.33892415364582,21.41083333333333,21.41083333333333,1
90,BASELINE,2023-09-19,2023-09-19,73.59504608154296,73.59504608154296,57.779999999999994,57.779999999999994,1
91,BASELINE,2023-09-26,2023-09-26,20.539520874023424,20.539520874023424,22.961249999999993,22.961249999999993,1
92,BASELINE,2023-10-03,2023-10-03,95.87101165771485,95.87101165771485,95.19541666666669,95.19541666666669,1
93,BASELINE,2023-10-10,2023-10-10,3.910784403483092,3.910784403483092,3.625416666666638,3.625416666666638,1
94,BASELINE,2023-10-17,2023-10-17,15.127813517252605,15.127813517252605,3.5745833333333223,3.5745833333333223,1
95,BASELINE,2023-10-24,2023-10-24,6.239197896321599,6.239197896321599,7.038333333333341,7.038333333333341,1
96,BASELINE,2023-10-31,2023-10-31,4.303942871093753,4.303942871093753,12.063749999999999,12.063749999999999,1
97,BASELINE,2023-11-07,2023-11-07,22.4870595296224,22.4870595296224,27.704166666666666,27.704166666666666,1
98,BASELINE,2023-11-14,2023-11-14,38.37137868245442,38.37137868245442,29.38624999999999,29.38624999999999,1
99,BASELINE,2023-11-21,2023-11-21,18.529412434895818,18.529412434895818,17.213749999999976,17.213749999999976,1
100,BASELINE,2023-11-28,2023-11-28,11.691013488769528,11.691013488769528,7.430833333333311,7.430833333333311,1
101,BASELINE,2023-12-05,2023-12-05,7.815088195800783,7.815088195800783,2.6345833333333246,2.6345833333333246,1
102,BASELINE,2023-12-12,2023-12-12,0.18642720540367463,0.18642720540367463,27.0091666666667,27.0091666666667,1
103,BASELINE,2023-12-19,2023-12-19,22.00154673258463,22.00154673258463,1.684583333333336,1.684583333333336,1
104,BASELINE,2023-12-26,2023-12-26,20.870413157145183,20.870413157145183,16.215,16.215,1
105,BASELINE,2024-01-02,2024-01-02,12.094306538899737,12.094306538899737,36.891666666666666,36.891666666666666,1
106,BASELINE,2024-01-09,2024-01-09,4.772635091145844,4.772635091145844,7.1650000000000205,7.1650000000000205,1
107,BASELINE,2024-01-16,2024-01-16,4.429016215006527,4.429016215006527,14.641250000000014,14.641250000000014,1
108,BASELINE,2024-01-23,2024-01-23,20.0286567179362,20.0286567179362,2.447499999999998,2.447499999999998,1
109,BASELINE,2024-01-30,2024-01-30,7.235904337565103,7.235904337565103,3.0658333333333303,3.0658333333333303,1
110,BASELINE,2024-02-06,2024-02-06,7.666037190755212,7.666037190755212,9.452083333333334,9.452083333333334,1
111,BASELINE,2024-02-13,2024-02-13,9.758037618001296,9.758037618001296,2.5237499999999926,2.5237499999999926,1
112,BASELINE,2024-02-20,2024-02-20,11.292459513346351,11.292459513346351,2.065416666666671,2.065416666666671,1
113,BASELINE,2024-02-27,2024-02-27,5.393470458984368,5.393470458984368,7.567916666666662,7.567916666666662,1
114,BASELINE,2024-03-05,2024-03-05,3.5012890624999926,3.5012890624999926,1.2866666666666617,1.2866666666666617,1
115,BASELINE,2024-03-12,2024-03-12,11.84433797200522,11.84433797200522,14.797083333333347,14.797083333333347,1
116,BASELINE,2024-03-19,2024-03-19,2.6627652994791617,2.6627652994791617,0.31749999999999545,0.31749999999999545,1
117,BASELINE,2024-03-26,2024-03-26,16.707917582194014,16.707917582194014,18.412499999999994,18.412499999999994,1
118,BASELINE,2024-04-02,2024-04-02,19.036949564615888,19.036949564615888,2.5291666666666686,2.5291666666666686,1
119,BASELINE,2024-04-09,2024-04-09,24.04858428955078,24.04858428955078,26.882083333333334,26.882083333333334,1
120,BASELINE,2024-04-16,2024-04-16,17.480257771809896,17.480257771809896,13.934583333333343,13.934583333333343,1
121,BASELINE,2024-04-23,2024-04-23,2.4686604817708258,2.4686604817708258,0.7716666666666896,0.7716666666666896,1
122,BASELINE,2024-04-30,2024-04-30,16.129502766927075,16.129502766927075,11.41749999999999,11.41749999999999,1
123,BASELINE,2024-05-07,2024-05-07,0.48704681396483807,0.48704681396483807,0.14000000000000057,0.14000000000000057,1
124,BASELINE,2024-05-14,2024-05-14,48.10204884847005,48.10204884847005,18.731666666666666,18.731666666666666,1
125,BASELINE,2024-05-21,2024-05-21,9.757180989583333,9.757180989583333,14.834166666666661,14.834166666666661,1
