fold_id,period,LEAR_A_price_only_MAE,LEAR_E_all_features_MAE,XGB_univariate_MAE,SARIMAX_MAE
145,BASELINE,13.503920050306391,13.608691940697,6.827561442057288,6.832119221620118
146,BASELINE,27.06610618330751,32.44155650453311,4.0031074015299595,4.219394942856582
147,BASELINE,0.239238614142522,3.743562610906224,15.002444966634101,19.586514904032754
148,BASELINE,13.064205171155521,21.52981202458973,40.012938639322925,33.829617448287564
149,BASELINE,22.16797005540485,42.86306395270475,42.83042541503906,44.73132590915148
150,BASELINE,17.888877154949085,40.85657710164611,24.188926188151044,43.239071616985825
151,BASELINE,6.802044708852179,8.989042104741586,5.225898437500007,7.2216819162939885
152,BASELINE,21.52033069718587,18.75150382111407,27.41797170003254,30.810837387323474
153,BASELINE,16.7522142751597,23.214843435541752,35.918274739583325,17.45355481923289
154,BASELINE,29.604809103554743,37.91104947387575,23.84623809814454,31.369975321044464
155,BASELINE,14.015198729383442,4.891941311446615,67.98917521158855,2.203099911165708
156,BASELINE,25.728820382932597,17.167642728720637,39.03730209350586,10.810122987403602
157,BASELINE,40.7482836832422,40.35261430583794,14.651368103027345,46.035657276944015
158,BASELINE,1.7885208317222308,8.815188149882353,15.908340403238931,7.505716191012219
159,BASELINE,11.18650989702246,5.532611335177847,18.917658691406245,9.545812796844785
160,BASELINE,64.4028626501412,39.93354655172013,48.20582885742189,39.11064964546401
161,BASELINE,12.21986071880734,9.914699805578294,16.13514536539715,21.174490920405958
162,BASELINE,20.347142565492845,13.202781960884863,1.390676269531241,11.625753288565676
163,BASELINE,18.6148574746004,15.729827430648044,4.465911763509098,8.5218152330323
164,BASELINE,33.994320101801804,22.35413304763867,21.566840006510432,17.097760324412974
165,BASELINE,30.579762088480976,32.21410211175575,46.433442687988276,37.65967959679203
166,BASELINE,23.936761698353465,6.594287622895919,3.639923706054688,7.448291095093708
167,BASELINE,1.7620266729975356,9.63638124263673,18.023604736328124,9.14594663353219
168,BASELINE,31.67578848950984,12.71997561281006,3.199860941569,18.605202034002787
169,BASELINE,20.436108711377287,16.604726793841238,8.575613708496078,17.1636666516887
170,BASELINE,35.0040769831033,26.105331404261307,14.973818868001288,13.004987886550083
171,BASELINE,11.844312879144113,18.63855749030769,12.22602447509766,0.18472219519451016
172,BASELINE,45.91504143440423,44.16150198501542,28.86667378743489,28.986036165233628
173,BASELINE,13.018752422705276,14.853463744807058,36.592324422200505,26.016267165200958
174,BASELINE,27.058152363476026,23.215956579984308,26.361193135579427,9.94064633498489
175,BASELINE,12.316585933676365,11.12847504497482,8.977671915690124,0.9601712568219938
176,BASELINE,14.601951563896364,14.585761611326802,1.0391626993815208,1.4723742551712036
177,BASELINE,16.318089598205574,17.143012699575564,5.042922871907535,5.545319151409103
178,BASELINE,32.704088958172704,36.66141387701701,15.991852518717451,19.61804781346227
179,BASELINE,32.9246130234836,31.162548155593356,0.7513368733723951,16.85057115514826
180,BASELINE,10.065668650416512,15.337021166156347,7.3181661987304665,5.332921888544149
181,BASELINE,7.88090031625957,15.765765754615913,14.933818359374996,2.1981781924194053
182,BASELINE,21.151540766963763,27.07215944824071,19.194224446614584,9.178194014050597
183,BASELINE,26.814262124004415,28.410813939050684,49.32188924153647,43.10617237933326
184,BASELINE,24.48408766872396,21.74769625884339,18.001835632324216,7.568479706745194
185,BASELINE,21.793941066200546,20.448367331416705,1.102186482747399,5.550447058474191
186,BASELINE,35.75307142413577,38.0015614248679,14.272128397623689,18.86902070742724
187,BASELINE,33.17985160290206,30.25819089879647,2.4295571899414057,13.92347782776119
188,BASELINE,49.97761366501778,53.862822557571455,34.23454294840494,31.859144280197533
189,BASELINE,12.319301722757828,11.037955584362706,11.676183268229167,6.080400286193537
190,BASELINE,24.31441381038941,21.105413326123497,7.11106272379557,2.302257860118985
191,BASELINE,5.18088415022693,4.9429984150314255,15.378308512369799,16.820896038130144
192,BASELINE,4.455469433366616,6.686606439433376,13.995707804361999,29.984066409684615
