fold_id,period,date,B_no_EUA_abs_error,B_with_EUA_abs_error,D_no_EUA_abs_error,D_with_EUA_abs_error
26,SHOCK_2022,2022-06-28,27.917614060939968,31.736309833165308,28.780036514236485,29.62000231576019
27,SHOCK_2022,2022-07-05,14.015856037115554,26.50836765754218,13.426735428017253,22.11069818851672
28,SHOCK_2022,2022-07-12,42.674170752654845,35.14370851863032,43.23329146333515,43.60750520400188
29,SHOCK_2022,2022-07-19,44.99528633887303,39.97499991082634,43.75663301606704,40.91354440027402
30,SHOCK_2022,2022-07-26,7.847959167688828,9.520463422759974,8.759715286925314,7.757561828577195
31,SHOCK_2022,2022-08-02,14.404064836455575,19.92993426248671,13.77488240931359,19.18158367369034
32,SHOCK_2022,2022-08-09,47.6471873366192,50.302140354802646,46.641186125144486,50.302140354802646
33,SHOCK_2022,2022-08-16,99.07673650458179,98.99816784681434,99.37310523369064,98.72557017495348
34,SHOCK_2022,2022-08-23,154.9263942947377,155.6395164795121,156.63082058538413,155.13374236073844
35,SHOCK_2022,2022-08-30,130.74715852810914,126.6697179428927,130.54752253769323,126.56443867887947
36,SHOCK_2022,2022-09-06,98.2692062473057,45.60391467949614,93.5113056296064,44.498190520919536
37,SHOCK_2022,2022-09-13,34.640303265454065,15.025571050272788,40.14223714668134,17.453882343934538
38,SHOCK_2022,2022-09-20,9.015085668634242,37.4927767100408,9.5319484808943,28.446611586967663
39,SHOCK_2022,2022-09-27,18.117612261320573,20.1452945740229,16.132452864390814,21.87153969782645
40,SHOCK_2022,2022-10-04,12.81529433450325,26.939094140716207,8.242964106065273,21.31127563245147
41,SHOCK_2022,2022-10-11,50.24881225118122,68.15597899467082,50.190458898919246,72.71387508705149
42,SHOCK_2022,2022-10-18,0.1552336717008984,10.69860327931434,0.8576437297862753,14.576516862011317
43,SHOCK_2022,2022-10-25,33.955365214581576,19.12503905791766,35.136604169725615,16.324343961925607
44,SHOCK_2022,2022-11-01,100.86429791128371,124.80211738598892,99.9241269410088,119.91834533409529
45,SHOCK_2022,2022-11-08,8.728998997708842,13.006865236915587,7.237946751672467,9.078459437346254
46,SHOCK_2022,2022-11-15,3.4768130369556047,2.479901690480091,5.952201097437694,0.5345941502111202
47,SHOCK_2022,2022-11-22,47.465120898498725,48.01073763697676,49.06867181472498,47.3984949459705
48,SHOCK_2022,2022-11-29,71.13349316854288,73.69394202820604,77.24166891751912,75.25946204580913
49,SHOCK_2022,2022-12-06,28.098508309708222,4.100113557600423,28.19970009188711,8.816834699109563
50,SHOCK_2022,2022-12-13,33.94162110351573,7.58452753591763,34.240147875532614,4.403907475591154
51,SHOCK_2022,2022-12-20,9.851369073458159,13.529662081581648,6.703247530454746,13.704993129121647
52,SHOCK_2022,2022-12-27,44.62380398684823,37.12714693860946,38.302037194277176,36.02772368350173
53,SHOCK_2022,2023-01-03,5.883449608435626,11.359969541077675,3.374166342287623,10.791357764714604
54,SHOCK_2022,2023-01-10,10.233717611169268,5.135880386384642,10.685205567872302,6.0472432538509935
55,SHOCK_2022,2023-01-17,2.825889885338512,2.8228622441507127,3.5807061522007473,2.9307630966632416
56,SHOCK_2022,2023-01-24,6.453776088098607,0.03063708467513493,11.624797262849057,1.2172967457248944
57,SHOCK_2022,2023-01-31,10.295917381167357,5.57467154365375,9.85591455478989,3.533793738091731
58,SHOCK_2022,2023-02-07,2.985762850567795,3.757600417269913,3.437876739365265,4.003262292886575
59,SHOCK_2022,2023-02-14,13.81457378362029,14.716469950312245,13.156784996080717,11.971310814119477
60,SHOCK_2022,2023-02-21,26.975934384212735,26.54197676001246,28.404257283551217,27.66843968289335
61,BASELINE,2023-02-28,4.973746725339936,5.923707695808446,3.136495637416658,5.024146439200365
62,BASELINE,2023-03-07,42.98683685220199,48.69860568249247,42.447137204494126,47.61104445616995
63,BASELINE,2023-03-14,36.14571607738621,39.829481564876815,31.283116540848795,38.49662705048907
