fold_id,period,variable,coef,pvalue
26,SHOCK_2022,d_ttf_eur_mwh_lag2,1.4013495347275395,8.44355663584211e-33
26,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.3390766554652715,0.3357545141219693
26,SHOCK_2022,d_gpr_daily_lag2,0.05307223847624201,0.10491990652013404
26,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
27,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3991887097936289,7.854661654701681e-25
27,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.32960049948081943,0.40680044643247815
27,SHOCK_2022,d_gpr_daily_lag2,0.053214673694884876,0.10316858620703986
27,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
28,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3657798647616652,1.406802595715832e-28
28,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.3018264455181234,0.4509753724183776
28,SHOCK_2022,d_gpr_daily_lag2,0.06297260972572616,0.05976806267804768
28,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
29,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3836437681206577,4.0218766320624866e-29
29,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.3628506154529759,0.35718832818903357
29,SHOCK_2022,d_gpr_daily_lag2,0.06005534709812395,0.07379009186064424
29,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
30,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3709586811080516,4.262774945745234e-28
30,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.42436601138061064,0.28965316824185894
30,SHOCK_2022,d_gpr_daily_lag2,0.05702364263396827,0.09057161413969307
30,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
31,SHOCK_2022,d_ttf_eur_mwh_lag2,1.456456368738212,2.3443319300244892e-30
31,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.6010998380942378,0.144936407504864
31,SHOCK_2022,d_gpr_daily_lag2,0.05117568629226329,0.12353665645794754
31,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
32,SHOCK_2022,d_ttf_eur_mwh_lag2,1.4346846303956498,2.512153603420904e-30
32,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.43708717416344917,0.28019663412559515
32,SHOCK_2022,d_gpr_daily_lag2,0.05063624388113935,0.12722715376770447
32,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
33,SHOCK_2022,d_ttf_eur_mwh_lag2,1.4579935668517205,2.151355297228735e-31
33,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.4112358393232077,0.3061485608481087
33,SHOCK_2022,d_gpr_daily_lag2,0.04396293383309096,0.1752691712069827
33,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
34,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5205195371775082,5.053730178406214e-34
34,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.7767931323578467,0.05738768803727016
34,SHOCK_2022,d_gpr_daily_lag2,0.03882735872354155,0.2327598629628691
34,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
35,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5273374891397484,4.625976540609789e-34
35,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.8858667374511763,0.03270272288458004
35,SHOCK_2022,d_gpr_daily_lag2,0.04591322686427124,0.17815276935308633
35,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
36,SHOCK_2022,d_ttf_eur_mwh_lag2,1.516667001737942,2.4271306744455947e-43
36,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.6348918391625334,0.11901364512731827
36,SHOCK_2022,d_gpr_daily_lag2,0.03297679024331527,0.32322007019632504
36,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
37,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5314647959119927,7.90484509537794e-50
37,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.6456691715385148,0.11055559718488656
37,SHOCK_2022,d_gpr_daily_lag2,0.022635577303968448,0.49700352092601696
37,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
