fold_id,period,residual_load_threshold,A_price_calendar_MAE,A_price_calendar_RMSE,B_plus_fundamentals_MAE,B_plus_fundamentals_RMSE,C_plus_hormuz_MAE,C_plus_hormuz_RMSE,D_plus_interactions_MAE,D_plus_interactions_RMSE
78,BASELINE,43747.99375,8.857142508241708,8.857142508241708,0.8477319031108692,0.8477319031108692,0.8477319031108692,0.8477319031108692,1.9912656989266821,1.9912656989266821
79,BASELINE,43685.041406250006,16.252388796856167,16.252388796856167,17.311617692331808,17.311617692331808,17.311617692331808,17.311617692331808,13.946489444239191,13.946489444239191
80,BASELINE,43627.3875,4.456801306481722,4.456801306481722,1.159335173529712,1.159335173529712,1.159335173529712,1.159335173529712,0.3134646563869836,0.3134646563869836
81,BASELINE,43578.64635416667,14.369576128220743,14.369576128220743,20.248028575478997,20.248028575478997,20.248028575478997,20.248028575478997,19.32352963586648,19.32352963586648
82,BASELINE,43572.848958333336,4.739484602972908,4.739484602972908,7.5907317733480255,7.5907317733480255,7.5907317733480255,7.5907317733480255,7.341247669463712,7.341247669463712
83,BASELINE,43478.19401041667,6.9705302385712,6.9705302385712,0.34099100269860116,0.34099100269860116,0.34099100269860116,0.34099100269860116,1.0258617183668406,1.0258617183668406
84,BASELINE,43406.80572916666,47.34062376861794,47.34062376861794,50.26892936241408,50.26892936241408,50.26892936241408,50.26892936241408,49.439783281787825,49.439783281787825
85,BASELINE,43313.21796875,7.02526798297751,7.02526798297751,8.38108390870866,8.38108390870866,8.38108390870866,8.38108390870866,8.989974940466283,8.989974940466283
86,BASELINE,43218.39166666667,2.3327413982105014,2.3327413982105014,11.366170413891524,11.366170413891524,11.366170413891524,11.366170413891524,11.529406710819629,11.529406710819629
87,BASELINE,43198.5875,4.681347878047319,4.681347878047319,1.5749898191792653,1.5749898191792653,1.5749898191792653,1.5749898191792653,2.7899247486158885,2.7899247486158885
88,BASELINE,43137.34427083333,7.728437369757259,7.728437369757259,3.2310525597692674,3.2310525597692674,3.2310525597692674,3.2310525597692674,3.29748923021927,3.29748923021927
89,BASELINE,43118.6140625,12.602142535456409,12.602142535456409,0.3615223284180047,0.3615223284180047,0.3615223284180047,0.3615223284180047,1.210311963225223,1.210311963225223
90,BASELINE,42973.703125,66.31947672554861,66.31947672554861,63.25919051925032,63.25919051925032,63.25919051925032,63.25919051925032,62.32917730467714,62.32917730467714
91,BASELINE,42911.05260416667,26.626634131883407,26.626634131883407,28.139932004733268,28.139932004733268,28.139932004733268,28.139932004733268,29.311579929293103,29.311579929293103
92,BASELINE,42815.61614583334,85.4855364384145,85.4855364384145,78.85312294753493,78.85312294753493,78.85312294753493,78.85312294753493,79.56332093504271,79.56332093504271
93,BASELINE,42758.52473958333,0.04536300055960396,0.04536300055960396,0.16350386911142323,0.16350386911142323,0.16350386911142323,0.16350386911142323,1.3438150736546106,1.3438150736546106
94,BASELINE,42693.606250000004,9.187800634763178,9.187800634763178,11.186190319737136,11.186190319737136,11.186190319737136,11.186190319737136,12.123511394946618,12.123511394946618
95,BASELINE,42643.91119791667,1.8871813128289432,1.8871813128289432,2.3086502991493916,2.3086502991493916,2.3086502991493916,2.3086502991493916,0.5155778103796109,0.5155778103796109
96,BASELINE,42645.9578125,4.671208897879367,4.671208897879367,0.030893835138797954,0.030893835138797954,0.030893835138797954,0.030893835138797954,2.85836818915449,2.85836818915449
97,BASELINE,42648.00442708333,12.205251549878,12.205251549878,8.176116871077113,8.176116871077113,8.176116871077113,8.176116871077113,9.78333766677342,9.78333766677342
98,BASELINE,42641.03854166667,35.56340207447609,35.56340207447609,34.642924268101595,34.642924268101595,34.642924268101595,34.642924268101595,33.487597079542226,33.487597079542226
99,BASELINE,42594.395312500004,24.829136050597185,24.829136050597185,20.03867715051757,20.03867715051757,20.03867715051757,20.03867715051757,20.736878751897436,20.736878751897436
100,BASELINE,42563.11666666667,7.690819205010186,7.690819205010186,11.665630564426607,11.665630564426607,11.665630564426607,11.665630564426607,13.270993785522037,13.270993785522037
101,BASELINE,42623.95260416667,6.0062890747852435,6.0062890747852435,4.010075495895791,4.010075495895791,4.010075495895791,4.010075495895791,11.090808065478242,11.090808065478242
102,BASELINE,42690.31041666667,5.576877845669145,5.576877845669145,10.306592292177854,10.306592292177854,10.306592292177854,10.306592292177854,6.856905685520374,6.856905685520374
103,BASELINE,42726.74557291667,10.38157013595007,10.38157013595007,13.8170302863209,13.8170302863209,13.8170302863209,13.8170302863209,12.863516777778031,12.863516777778031
